Nome do exercício,Séries e Repetições,Descanso,Instruções/Observações,Link do vídeo,Dificuldade,Treino
Dobrar a mão com dedos esticados,2x 40s,30s,"Faça o exercício mantendo nessa posição por 40 segundos. Depois, descanse 30 segundos e faça mais 40 segundos do exercício.",https://youtu.be/y12pJEuOz9s,Fácil,MÃOS - INICIANTE
Dobrar os dedos gradualmente,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/4S1nokkJePs,Fácil,MÃOS - INICIANTE
Caminhada com os dedos,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/vWxTeAcBrsA,Fácil,MÃOS - INICIANTE
Círculos com os punhos,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/VIfWchZPtkU,Fácil,MÃOS - INICIANTE
Afastar os dedos,2x 40s,30s,"Faça o exercício mantendo nessa posição por 40 segundos. Depois, descanse 30 segundos e faça mais 40 segundos do exercício.",https://youtu.be/-dPE_rdWphs,Fácil,MÃOS - INICIANTE
Punhos para trás com elástico,1x 10,–,Faça o exercício 10 vezes.,https://youtu.be/FTRwq_fLSlg,Fácil,MÃOS - INICIANTE
Apertar as mãos,1x 10,–,"Faça o exercício 10 vezes. Você poderá utilizar massinha, uma bolinha, uma toalha dobrada ou qualquer outro objeto macio para apertar.",https://youtu.be/0SX7NUtbmt8,Fácil,MÃOS - INICIANTE
Apertar os dedos,1x 10,–,"Faça o exercício 10 vezes. Você poderá utilizar massinha, uma toalha dobrada ou qualquer objeto macio entre os dedos para apertar.",https://youtu.be/ceNLqeOYTZw,Fácil,MÃOS - INICIANTE
Pinça com os dedos,1x 10,–,"Faça o exercício 10 vezes. Você poderá utilizar massinha, uma toalha dobrada ou qualquer objeto macio entre os dedos para apertar.",https://youtu.be/ueggwh9RL04,Fácil,MÃOS - INICIANTE
Punhos para cima com peso,1x 10,–,"Faça o exercício 10 vezes. Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.",https://youtu.be/6e6w1Q_DKhk,Fácil,MÃOS - INICIANTE
Punhos para baixo com peso,1x 10,–,"Faça o exercício 10 vezes. Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.",https://youtu.be/UtunQmTdl_w,Fácil,MÃOS - INICIANTE
Mãos atrás da cabeça,2x 40s,30s,"Faça o exercício mantendo nessa posição por 40 segundos. Depois, descanse 30 segundos e faça mais 40 segundos do exercício.",https://youtu.be/DdwdjL8sLV0,Fácil,MÃOS - INICIANTE
Mãos atrás das costas,2x 40s,30s,"Faça o exercício mantendo nessa posição por 40 segundos. Depois, descanse 30 segundos e faça mais 40 segundos do exercício.",https://youtu.be/2qeEuPiZ3_U,Fácil,MÃOS - INICIANTE
Dobrar a mão com dedos esticados,2x 30s,30s,"Faça o exercício mantendo nessa posição por 30 segundos. Depois, descanse 30 segundos e faça mais 30 segundos do exercício.",https://youtu.be/y12pJEuOz9s,Intermediário,MÃOS - INTERMEDIÁRIO
Dobrar os dedos gradualmente,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/4S1nokkJePs,Intermediário,MÃOS - INTERMEDIÁRIO
Caminhada com os dedos,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/vWxTeAcBrsA,Intermediário,MÃOS - INTERMEDIÁRIO
Círculos com os punhos,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/VIfWchZPtkU,Intermediário,MÃOS - INTERMEDIÁRIO
Afastar os dedos,2x 40s,30s,"Faça o exercício mantendo nessa posição por 40 segundos. Depois, descanse 30 segundos e faça mais 40 segundos do exercício.",https://youtu.be/-dPE_rdWphs,Intermediário,MÃOS - INTERMEDIÁRIO
Punhos para trás com elástico,2x 12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes.",https://youtu.be/FTRwq_fLSlg,Intermediário,MÃOS - INTERMEDIÁRIO
Apertar as mãos,2x 12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes. Você poderá utilizar massinha, uma bolinha, uma toalha dobrada ou qualquer outro objeto macio para apertar.",https://youtu.be/0SX7NUtbmt8,Intermediário,MÃOS - INTERMEDIÁRIO
Apertar os dedos,2x 12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes. Você poderá utilizar massinha, uma toalha dobrada ou qualquer objeto macio entre os dedos para apertar.",https://youtu.be/ceNLqeOYTZw,Intermediário,MÃOS - INTERMEDIÁRIO
Pinça com os dedos,2x 12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes. Você poderá utilizar massinha, uma toalha dobrada ou qualquer objeto macio para apertar.",https://youtu.be/ueggwh9RL04,Intermediário,MÃOS - INTERMEDIÁRIO
Punhos para cima com peso,2x 12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes. Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.",https://youtu.be/6e6w1Q_DKhk,Intermediário,MÃOS - INTERMEDIÁRIO
Punhos para baixo com peso,2x 12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes. Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.",https://youtu.be/UtunQmTdl_w,Intermediário,MÃOS - INTERMEDIÁRIO
Mãos atrás da cabeça,1x 40s,–,Faça o exercício mantendo nessa posição por 40 segundos.,https://youtu.be/DdwdjL8sLV0,Intermediário,MÃOS - INTERMEDIÁRIO
Mãos atrás das costas,1x 40s,–,Faça o exercício mantendo nessa posição por 40 segundos.,https://youtu.be/2qeEuPiZ3_U,Intermediário,MÃOS - INTERMEDIÁRIO
Dobrar a mão com dedos esticados,1x 40s,30s,Faça o exercício mantendo nessa posição por 40 segundos.,https://youtu.be/y12pJEuOz9s,Dificil,MÃOS - AVANÇADO
Dobrar os dedos gradualmente,1x 12,30s,Faça o exercício repetindo o movimento 12 vezes.,https://youtu.be/4S1nokkJePs,Dificil,MÃOS - AVANÇADO
Caminhada com os dedos,1x 12,30s,Faça o exercício repetindo o movimento 12 vezes.,https://youtu.be/vWxTeAcBrsA,Dificil,MÃOS - AVANÇADO
Círculos com os punhos,1x 12,30s,Faça o exercício repetindo o movimento 12 vezes.,https://youtu.be/VIfWchZPtkU,Dificil,MÃOS - AVANÇADO
Afastar os dedos,1x 40s,30s,Faça o exercício mantendo nessa posição por 40 segundos.,https://youtu.be/-dPE_rdWphs,Dificil,MÃOS - AVANÇADO
Punhos para trás com elástico,3x 12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes. Faça isso 3 vezes no total.",https://youtu.be/FTRwq_fLSlg,Dificil,MÃOS - AVANÇADO
Apertar as mãos,3x 12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes. Faça isso 3 vezes no total. Você poderá utilizar massinha, uma bolinha, uma toalha dobrada ou qualquer outro objeto macio para apertar.",https://youtu.be/0SX7NUtbmt8,Dificil,MÃOS - AVANÇADO
Apertar os dedos,3x 12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes. Faça isso 3 vezes no total. Você poderá utilizar massinha, uma toalha dobrada ou qualquer objeto macio entre os dedos para apertar.",https://youtu.be/ceNLqeOYTZw,Dificil,MÃOS - AVANÇADO
Pinça com os dedos,3x 12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes. Faça isso 3 vezes no total. Você poderá utilizar massinha, uma toalha dobrada ou qualquer objeto macio para apertar.",https://youtu.be/ueggwh9RL04,Dificil,MÃOS - AVANÇADO
Punhos para cima com peso,3x12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes. Faça isso 3 vezes no total. Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.",https://youtu.be/6e6w1Q_DKhk,Dificil,MÃOS - AVANÇADO
Punhos para cima com peso,3x12,30s,"Faça o exercício 12 vezes. Depois, descanse 30 segundos e faça mais 12 vezes. Faça isso 3 vezes no total. Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.",https://youtu.be/UtunQmTdl_w,Dificil,MÃOS - AVANÇADO
Mãos atrás da cabeça,1x 40s,–,Faça o exercício mantendo nessa posição por 40 segundos.,https://youtu.be/DdwdjL8sLV0,Dificil,MÃOS - AVANÇADO
Mãos atrás das costas,1x 40s,–,Faça o exercício mantendo nessa posição por 40 segundos.,https://youtu.be/2qeEuPiZ3_U,Dificil,MÃOS - AVANÇADO
Automassagem com bolinha,3x30s,30s,"Faça o exercício por 30 segundos. Depois, descanse e faça mais 30 segundos. Faça isso 3 vezes no total.",https://youtu.be/Z5-iIz2j7T0,Fácil,PÉS - INICIANTE
Movimentos circulares com os pés,1x30s,–,Repita o exercício por 30 segundos.,https://youtu.be/VAyx9Y6MpaA,Fácil,PÉS - INICIANTE
Movimentos circulares com os dedo,1x10 cada dedo,–,Repita o exercício 10 vezes para cada dedo.,https://youtu.be/IYPIqZmyKpM,Fácil,PÉS - INICIANTE
Bater os pés alternadamente sentado,2x30s,30s,"Faça o exercício por 30 segundos. Depois, descanse e faça mais 30 segundos.",https://youtu.be/oH2Vo6n7jJA,Fácil,PÉS - INICIANTE
Pés para dentro e para fora,2x30s,30s,"Faça o exercício por 30 segundos. Depois, descanse e faça mais 30 segundos.",https://youtu.be/q0xd1Vs_gyk,Fácil,PÉS - INICIANTE
Movimentos para cima e para baixo,2x30s,30s,"Faça o exercício por 30 segundos. Depois, descanse e faça mais 30 segundos.",https://youtu.be/plvD8fYO6lE,Fácil,PÉS - INICIANTE
Movimentos circulares o tornozelo,2x30s,30s,"Faça o exercício por 30 segundos. Depois, descanse e faça mais 30 segundos.",https://youtu.be/Bnb0IEKhqKk,Fácil,PÉS - INICIANTE
Puxar a toalha com os dedos,3x10,40s,"Faça o exercício puxando a toalha 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.",https://youtu.be/8QufkEUDPIg,Fácil,PÉS - INICIANTE
Agarrar um objeto do chão com os dedos,3x10,40s,"Faça o exercício pegando qualquer objeto do chão com os dedos 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.",https://youtu.be/11EZtfqV4lI,Fácil,PÉS - INICIANTE
Ficar na ponta dos pés sentado,3x10,40s,"Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.",https://youtu.be/tuLmnqEr5ek,Fácil,PÉS - INICIANTE
Alongamento panturrilha,2x45s,–,"Faça o exercício mantendo nessa posição por 45 segundos. Depois, descanse 30 segundos e faça mais 45 segundos do exercício.",https://youtu.be/6efz_b82-j4,Fácil,PÉS - INICIANTE
Alongamento parte anterior da perna,2x45s,–,"Faça o exercício mantendo nessa posição por 45 segundos. Depois, descanse 30 segundos e faça mais 45 segundos do exercício.",https://youtu.be/qdtV7_WxDD4,Fácil,PÉS - INICIANTE
Alongamento do pé,2x45s,–,"Faça o exercício mantendo nessa posição por 45 segundos. Depois, descanse 30 segundos e faça mais 45 segundos do exercício.",https://youtu.be/PGXBCM45sZc,Fácil,PÉS - INICIANTE
Automassagem com bolinha,2x30s,30s,"Faça o exercício por 30 segundos. Depois, descanse e faça mais 30 segundos.",https://youtu.be/Z5-iIz2j7T0,Intermediário,PÉS - INTERMEDIÁRIO
Movimentos circulares com os dedo,1x10 cada dedo,–,Repita o exercício 10 vezes para cada dedo.,https://youtu.be/IYPIqZmyKpM,Intermediário,PÉS - INTERMEDIÁRIO
Bater os pés alternadamente sentado,1x30s,–,Faça o exercício por 30 segundos.,https://youtu.be/oH2Vo6n7jJA,Intermediário,PÉS - INTERMEDIÁRIO
Movimentos para cima e para baixo,1x30s,–,Faça o exercício por 30 segundos.,https://youtu.be/plvD8fYO6lE,Intermediário,PÉS - INTERMEDIÁRIO
Movimentos circulares com o tornozelo,1x30s,–,Faça o exercício por 30 segundos.,https://youtu.be/Bnb0IEKhqKk,Intermediário,PÉS - INTERMEDIÁRIO
Pé para fora com faixa elástica,3x10,40s,"Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total. Você poderá usar uma faixa elástica ou qualquer outro tecido elástico.",https://youtu.be/z6ynDvqhiS0,Intermediário,PÉS - INTERMEDIÁRIO
Pé para dentro com faixa elástica,3x10,40s,"Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total. Você poderá usar uma faixa elástica ou qualquer outro tecido elástico.",https://youtu.be/uhHMUhwCrrw,Intermediário,PÉS - INTERMEDIÁRIO
Ponta do pé para cima com faixa elástica,3x10,40s,"Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total. Você poderá usar uma faixa elástica ou qualquer outro tecido elástico.",https://youtu.be/0OgaKVT_kXI,Intermediário,PÉS - INTERMEDIÁRIO
Puxar a toalha com os dedos com peso,3x10,40s,"Faça o exercício puxando a toalha 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total. Você poderá colocar qualquer objeto pesado, como uma garrafa de água cheia, em cima da toalha.",https://youtu.be/JKC9M3oSwVg,Intermediário,PÉS - INTERMEDIÁRIO
Agarrar um objeto do chão com os dedos,3x10,40s,"Faça o exercício pegando qualquer objeto do chão com os dedos 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.",https://youtu.be/11EZtfqV4lI,Intermediário,PÉS - INTERMEDIÁRIO
Tocar primeiro e quinto dedo no chão alternado,3x10,40s,"Faça o exercício tocando o primeiro e quinto dedo no chão alternadamente 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.",https://youtu.be/wOYNZy56CZk,Intermediário,PÉS - INTERMEDIÁRIO
Ficar na ponta dos pés em pé,3x10,40s,"Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.",https://youtu.be/pbYnEg2szmM,Intermediário,PÉS - INTERMEDIÁRIO
Alongamento panturrilha,2x45s,–,"Faça o exercício mantendo nessa posição por 45 segundos. Depois, descanse 30 segundos e faça mais 45 segundos do exercício.",https://youtu.be/6efz_b82-j4,Intermediário,PÉS - INTERMEDIÁRIO
Alongamento parte anterior da perna,2x45s,–,"Faça o exercício mantendo nessa posição por 45 segundos. Depois, descanse 30 segundos e faça mais 45 segundos do exercício.",https://youtu.be/qdtV7_WxDD4,Intermediário,PÉS - INTERMEDIÁRIO
Alongamento do pé,2x45s,–,"Faça o exercício mantendo nessa posição por 45 segundos. Depois, descanse 30 segundos e faça mais 45 segundos do exercício.",https://youtu.be/PGXBCM45sZc,Intermediário,PÉS - INTERMEDIÁRIO
Automassagem com bolinha,2x30s,30s,"Faça o exercício por 30 segundos. Depois, descanse e faça mais 30 segundos.",https://youtu.be/Z5-iIz2j7T0,Dificil,PÉS - AVANÇADO
Bater os pés alternadamente sentado,1x30s,–,Faça o exercício por 30 segundos.,https://youtu.be/oH2Vo6n7jJA,Dificil,PÉS - AVANÇADO
Movimentos para cima e para baixo,1x30s,–,Faça o exercício por 30 segundos.,https://youtu.be/plvD8fYO6lE,Dificil,PÉS - AVANÇADO
Movimentos circulares com o tornozelo,1x30s,–,Faça o exercício por 30 segundos.,https://youtu.be/Bnb0IEKhqKk,Dificil,PÉS - AVANÇADO
Pé para dentro com faixa elástica,3x10-12,30s,"Faça o exercício de 10 a 12 vezes. Depois, descanse 30 segundos e faça mais 10 a 12 vezes. Faça isso 3 vezes no total. Você poderá usar uma faixa elástica ou qualquer outro tecido elástico.",https://youtu.be/uhHMUhwCrrw,Dificil,PÉS - AVANÇADO
Pé para fora com faixa elástica,3x10-12,30s,"Faça o exercício de 10 a 12 vezes. Depois, descanse 30 segundos e faça mais 10 a 12 vezes. Faça isso 3 vezes no total. Você poderá usar uma faixa elástica ou qualquer outro tecido elástico.",https://youtu.be/z6ynDvqhiS0,Dificil,PÉS - AVANÇADO
Ponta do pé para cima com faixa elástica,3x10-12,30s,"Faça o exercício de 10 a 12 vezes. Depois, descanse 30 segundos e faça mais 10 a 12 vezes. Faça isso 3 vezes no total. Você poderá usar uma faixa elástica ou qualquer outro tecido elástico.",https://youtu.be/0OgaKVT_kXI,Dificil,PÉS - AVANÇADO
Puxar a toalha com os dedos com peso,3x10-12,30s,"Faça o exercício puxando a toalha de 10 a 12 vezes. Depois, descanse 30 segundos e faça mais 10 a 12 vezes. Faça isso 3 vezes no total. Você poderá colocar qualquer objeto pesado, como uma garrafa de água cheia, em cima da toalha.",https://youtu.be/JKC9M3oSwVg,Dificil,PÉS - AVANÇADO
Agarrar um objeto do chão com os dedos,3x10-12,30s,"Faça o exercício pegando qualquer objeto do chão com os dedos de 10 a 12 vezes. Depois, descanse 30 segundos e faça mais 10 a 12 vezes. Faça isso 3 vezes no total.",https://youtu.be/11EZtfqV4lI,Dificil,PÉS - AVANÇADO
Elevação do arco do pé,3x10-12,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.",https://youtu.be/XO3wAcVKXOI,Dificil,PÉS - AVANÇADO
Tocar primeiro e quinto dedo no chão alternado,3x10-12,30s,"Faça o exercício tocando o primeiro e quinto dedo no chão alternadamente de １０ a １２ vezes. Depois, descanse  ３０ segundos e faça mais  １０ a  １２ vezes. Faça isso  ３ vezes no total.",https://youtu.be/wOYNZy56CZk,Dificil,PÉS - AVANÇADO
Ficar na ponta dos pés em pé com um pé só,3x１０-１２,30s,Faça o exercício de  １０ a  １２ vezes. Depois， descanse  ３０ segundos e faça mais  １０ a  １２ vezes。 Faça isso  ３vezes no total。,https://youtu.be/19ZzspNclc8,Dificil,PÉS - AVANÇADO
Alongamento panturrilha,2x45s,–,"Faça o exercício mantendo nessa posição por 45 segundos. Depois, descanse 30 segundos e faça mais 45 segundos do exercício.",https://youtu.be/6efz_b82-j4,Dificil,PÉS - AVANÇADO
Alongamento parte anterior da perna,2x45s,–,"Faça o exercício mantendo nessa posição por 45 segundos. Depois, descanse 30 segundos e faça mais 45 segundos do exercício.",https://youtu.be/qdtV7_WxDD4,Dificil,PÉS - AVANÇADO
Alongamento do pé,2x45s,–,"Faça o exercício mantendo nessa posição por 45 segundos. Depois, descanse 30 segundos e faça mais 45 segundos do exercício.",https://youtu.be/PGXBCM45sZc,Dificil,PÉS - AVANÇADO
Contagem dos 7 segundos,,,,https://youtu.be/Ogk7k_whdQk,,técnicas de relaxamento
Contagem de três em três,,,,https://youtu.be/Ss5gj45PUhs,,técnicas de relaxamento
Respiração abdominal,,,,https://youtu.be/z0K-4VeTP4A,,técnicas de relaxamento
Uma narina de cada vez,,,,https://youtu.be/kFiN1c64W_4 ,,técnicas de relaxamento
Exercício de relaxamento 1: Meditação do espaço de respiração de três minutos,,,,https://youtu.be/dcyVqKiCgyk ,,relaxamento e alongamento
Exercício de relaxamento 2: Relaxamento com atenção corporal: ,,,,https://youtu.be/2blfsj41o68 ,,relaxamento e alongamento
Exercício de relaxamento 3: Relaxamento muscular progressivo,,,,https://youtu.be/eRVDTGH0VKE,,relaxamento e alongamento
Exercício de relaxamento 4: Visualização guiada - Relaxamento com imagens mentais,,,,https://youtu.be/Vn8wW-Cye_o,,relaxamento e alongamento
Círculos com a perna,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/aQ28TYdqiuU,Fácil,EXERCÍCIO PERSONALIDADO - INICIANTE - MOBILIDADE 
Círculos com o pé,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/t778SVu8q7k,Fácil,EXERCÍCIO PERSONALIDADO - INICIANTE - MOBILIDADE 
Pernas para frente e para trás,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/niQW5YigTR8,Fácil,EXERCÍCIO PERSONALIDADO - INICIANTE - MOBILIDADE 
Círculos com os braços,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/3yB1qsEBnek,Fácil,EXERCÍCIO PERSONALIDADO - INICIANTE - MOBILIDADE 
Subir e descer os ombros,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/GTnFmY5hcXo,Fácil,EXERCÍCIO PERSONALIDADO - INICIANTE - MOBILIDADE 
Círculos com os punhos,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/kmtUGLHAVFM,Fácil,EXERCÍCIO PERSONALIDADO - INICIANTE - MOBILIDADE 
Descer e subir o tronco sentado,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/_zTyUPCaCD8,Fácil,EXERCÍCIO PERSONALIDADO - INICIANTE - MOBILIDADE 
Gato arrepiado,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/Nn-NbV8I3DI,Fácil,EXERCÍCIO PERSONALIDADO - INICIANTE - MOBILIDADE 
Marcha no lugar,1x 40s,1min ,"Faça o exercício por 40 segundos. Depois, descanse 1 minuto e vá para o próximo exercício.",https://youtu.be/u_nPrwSOZAM,Fácil,EXERCÍCIO PERSONALIDADO - INICIANTE - AQUECIMENTO
Marcha no lugar com toque no joelho,1x 40s,1min,"Faça o exercício por 40 segundos. Depois, descanse 1 minuto e vá para o próximo exercício.",https://youtu.be/dj-mW5LIwns,Fácil,EXERCÍCIO PERSONALIDADO - INICIANTE - AQUECIMENTO
Polichinelo adaptado,1x 40s,1min,"Faça o exercício por 40 segundos. Depois, descanse 1 minuto e vá para o próximo exercício.",https://youtu.be/n6KZuSUL6js,Fácil,EXERCÍCIO PERSONALIDADO - INICIANTE - AQUECIMENTO
